word,meaning,status,lessonNumber,tags,partOfSpeech,audioWordFilename,audioMeaningFilename,pinyin,source,notes,seenCount,correctCount,wrongCount,listenedSeconds,lastReviewedAt
一样,the same; matter,known,1,general conversation;clip-pack;LMS 1000,,audio/words/一样.mp3,audio/meanings/the-same;-matter.mp3,yí yàng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一次,one time; once,known,1,existing known;clip-pack;LMS 1000,,audio/words/一次.mp3,audio/meanings/one-time;-once.mp3,yí cì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一生,one's whole life,known,1,general conversation;clip-pack;LMS 1000,,audio/words/一生.mp3,audio/meanings/one's-whole-life.mp3,yì shēng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一边,one side,known,1,general conversation;clip-pack;LMS 1000,,audio/words/一边.mp3,audio/meanings/one-side.mp3,yì biān,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一点,a little,known,1,general conversation;clip-pack;LMS 1000,,audio/words/一点.mp3,audio/meanings/a-little.mp3,yì diǎn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
上天,heaven; the sky,known,2,existing known;clip-pack;LMS 1000,,audio/words/上天.mp3,audio/meanings/heaven;-the-sky.mp3,shàng tiān,LMS 1000,Existing Known.txt entry.,0,0,0,0,
上山,to go up the mountain,known,2,existing known;clip-pack;LMS 1000,,audio/words/上山.mp3,audio/meanings/to-go-up-the-mountain.mp3,shàng shān,LMS 1000,Existing Known.txt entry.,0,0,0,0,
上课,to attend class,known,2,existing known;clip-pack;LMS 1000,,audio/words/上课.mp3,audio/meanings/to-attend-class.mp3,shàng kè,LMS 1000,Existing Known.txt entry.,0,0,0,0,
上面,above; on top of,known,2,general conversation;clip-pack;LMS 1000,,audio/words/上面.mp3,audio/meanings/above;-on-top-of.mp3,shàng miàn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
下来,to come down,known,2,general conversation;clip-pack;LMS 1000,,audio/words/下来.mp3,audio/meanings/to-come-down.mp3,xià lái,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不想,to not want to,known,3,existing known;clip-pack;LMS 1000,,audio/words/不想.mp3,audio/meanings/to-not-want-to.mp3,bù xiǎng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
丑,ugly,known,3,existing known;clip-pack;LMS 1000,,audio/words/丑.mp3,audio/meanings/ugly.mp3,chǒu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
世界,world,known,3,general conversation;clip-pack;LMS 1000,,audio/words/世界.mp3,audio/meanings/world.mp3,shì jiè,LMS 1000,Existing Known.txt entry.,0,0,0,0,
中,middle,known,3,general conversation;clip-pack;LMS 1000,,audio/words/中.mp3,audio/meanings/middle.mp3,zhōng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
事,matter; thing,known,3,general conversation;clip-pack;LMS 1000,,audio/words/事.mp3,audio/meanings/matter;-thing.mp3,shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
但是,but; however,known,4,narrative glue;clip-pack;LMS 1000,,audio/words/但是.mp3,audio/meanings/but;-however.mp3,dàn shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
位,measure word,known,4,general conversation;clip-pack;LMS 1000,,audio/words/位.mp3,audio/meanings/measure-word.mp3,wèi,LMS 1000,Existing Known.txt entry.,0,0,0,0,
来自,to come from,known,4,general conversation;clip-pack;LMS 1000,,audio/words/来自.mp3,audio/meanings/to-come-from.mp3,lái zì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
们,plural suffix for people,known,4,general conversation;clip-pack;LMS 1000,,audio/words/们.mp3,audio/meanings/plural-suffix-for-people.mp3,men,LMS 1000,Existing Known.txt entry.,0,0,0,0,
兄弟,brother; brothers,known,4,general conversation;clip-pack;LMS 1000,,audio/words/兄弟.mp3,audio/meanings/brother;-brothers.mp3,xiōng dì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
光,light; only,known,5,general conversation;clip-pack;LMS 1000,,audio/words/光.mp3,audio/meanings/light;-only.mp3,guāng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
出生,to be born; birth,known,5,general conversation;clip-pack;LMS 1000,,audio/words/出生.mp3,audio/meanings/to-be-born;-birth.mp3,chū shēng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
刀,knife,known,5,general conversation;clip-pack;LMS 1000,,audio/words/刀.mp3,audio/meanings/knife.mp3,dāo,LMS 1000,Existing Known.txt entry.,0,0,0,0,
到家,to arrive home,known,5,existing known;clip-pack;LMS 1000,,audio/words/到家.mp3,audio/meanings/to-arrive-home.mp3,dào jiā,LMS 1000,Existing Known.txt entry.,0,0,0,0,
刚才,just now; a moment ago,known,5,general conversation;clip-pack;LMS 1000,,audio/words/刚才.mp3,audio/meanings/just-now;-a-moment-ago.mp3,gāng cái,LMS 1000,Existing Known.txt entry.,0,0,0,0,
动物,animal; creature,known,6,general conversation;clip-pack;LMS 1000,,audio/words/动物.mp3,audio/meanings/animal;-creature.mp3,dòng wù,LMS 1000,Existing Known.txt entry.,0,0,0,0,
北,north,known,6,general conversation;clip-pack;LMS 1000,,audio/words/北.mp3,audio/meanings/north.mp3,běi,LMS 1000,Existing Known.txt entry.,0,0,0,0,
